stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
2325,2325,"SB 68 ST NE @ Falshire DR",,  51.107649,-113.935403,,,0
2326,2326,"SB 68 ST NE @ Faldale CL",,  51.104809,-113.935389,,,0
2327,2327,"SB 68 ST NE @ Falton CL",,  51.103125,-113.935315,,,0
2328,2328,"SB 68 ST NE @ Coral Springs BV",,  51.098709,-113.935391,,,0
2329,2329,"SB 68 ST NE @ 43 AV NE",,  51.091288,-113.935392,,,0
2330,2330,"SB 68 ST NE @ Laguna WY",,  51.084106,-113.935353,,,0
2331,2331,"SB 68 ST NE @ 32 AV NE",,  51.080846,-113.935369,,,0
2332,2332,"SB 68 ST NE @ 26 AV NE",,  51.075726,-113.935370,,,0
2333,2333,"SB 68 ST NE @ 22 AV NE",,  51.072384,-113.935350,,,0
2334,2334,"SB 68 ST NE @ Pinetree CR",,  51.069834,-113.935342,,,0
2335,2335,"SB 68 ST NE @ 12 AV NE",,  51.062559,-113.935424,,,0
2336,2336,"SB 68 ST NE @ 8 AV NE",,  51.059298,-113.935409,,,0
2337,2337,"SB 68 ST NE @ 4 AV NE",,  51.055536,-113.935422,,,0
2338,2338,"SB 68 ST NE @ Memorial DR",,  51.051888,-113.935438,,,0
2339,2339,"SB 68 ST SE @ Abbercove DR",,  51.049886,-113.935407,,,0
2340,2340,"SB 68 ST @ Applewood DR (N. Leg) SE",,  51.045367,-113.935370,,,0
2341,2341,"SB 68 ST @ Applewood DR (S. Leg) SE",,  51.042275,-113.935314,,,0
2342,2342,"SB 68 ST SE @ 14 AV SE",,  51.040092,-113.935317,,,0
2343,2343,"WB 64 AV NE @ 68 ST NE",,  51.110793,-113.936125,,,0
2347,2347,"EB 106 AV SE @ N Dufferin Industrial",,  50.964510,-113.942604,,,0
2348,2348,"NB Hidden Valley Dr @ Hidden Valley Ga NW",,  51.147530,-114.100441,,,0
2350,2350,"31st Street NW Station (EB)",,  51.081731,-114.129957,,,0
2366,2366,"NB 16 ST NE @ 100 AV NE",,  51.143949,-114.019999,,,0
2367,2367,"EB 100 AV NE @ 16 ST NE",,  51.143289,-114.019446,,,0
2368,2368,"WB Aero DR @ 19 ST NE",,  51.137628,-114.014243,,,0
2369,2369,"NB Aero DR @ Aero WY E leg",,  51.133946,-114.036300,,,0
2370,2370,"EB Aero DR @ Aero CR W  leg",,  51.136386,-114.034274,,,0
2372,2372,"WB Douglasdale BV @ Douglasview BV SE",,  50.940870,-113.991583,,,0
2373,2373,"EB Country Village RD @ Harvest Hills BV NE",,  51.160255,-114.068717,,,0
2376,2376,"Saddletowne LRT Station SB",,  51.124570,-113.948814,,,0
2377,2377,"WB 6 AV SW @ 9 ST SW",,  51.048079,-114.083085,,,0
2378,2378,"NB 52 ST NE @ Saddletree DR",,  51.130383,-113.958164,,,0
2379,2379,"NB 52 ST NE @ 88 AV NE",,  51.133109,-113.958209,,,0
2380,2380,"EB Savanna BV @ 52 ST NE",,  51.134915,-113.955108,,,0
2381,2381,"EB Savanna BV @ Savanna CM NE",,  51.135002,-113.952804,,,0
2382,2382,"SB Savanna ST @ Savanna BV NE",,  51.134091,-113.952531,,,0
2383,2383,"SB Saddlridge DR @ 88 AV NE",,  51.131978,-113.952523,,,0
2384,2384,"NB 14 ST NE @ 115 AV NE",,  51.158123,-114.026351,,,0
2385,2385,"NB 14 ST NE @ 120 AV NE",,  51.163265,-114.024644,,,0
2386,2386,"EB Stoney Bv @ CT Stoney Garage",,  51.165046,-114.020610,,,0
2387,2387,"SB 18 ST NE @ 120 AV NE",,  51.164821,-114.016820,,,0
2388,2388,"WB 120 AV NE @ 16 ST NE",,  51.161845,-114.023775,,,0
2389,2389,"SB 14 ST NE @ 115 AV NE",,  51.157553,-114.027547,,,0
2397,2397,"EB 50 AV @ 22 ST SE",,  51.008700,-114.006378,,,0
2398,2398,"EB 50 AV @ 35 ST SE",,  51.008654,-113.981245,,,0
2399,2399,"WB 68 AV SE @ 55 ST SE",,  50.994362,-113.951858,,,0
2400,2400,"Joane Cardinal-Schubert High School",,  50.877476,-113.944871,,,0
2401,2401,"NB Aspen Stone BV @ 17 AV SW",,  51.038416,-114.216605,,,0
2402,2402,"EB Aspen Stone BV @ Aspen Stone RD SW",,  51.040940,-114.212924,,,0
2403,2403,"NB 89 ST @ 9 AV SW",,  51.059919,-114.216592,,,0
2404,2404,"NB 89 ST @ Wentworth TC (N.leg) SW",,  51.061868,-114.216591,,,0
2405,2405,"EB 8 AV @ Wentworth SQ SW",,  51.063209,-114.215044,,,0
2406,2406,"EB Cityscape DR @ Cityscape PS NE",,  51.152241,-113.961721,,,0
2407,2407,"WB Cityscape BV @ Cityscape DR NE",,  51.147286,-113.966919,,,0
2408,2408,"NB Cityscape DR @ 104 AV NE",,  51.147638,-113.966200,,,0
