,route_id,operating mins,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
186,763-20573,60.0,763,Scarlett/Woodbine,,3,,,
187,764-20573,66.0,764,Scarlett/James McKevitt Rd,,3,,,
188,765-20573,58.0,765,Scarlett/Silverado,,3,,,
189,766-20573,228.0,766,Scarlett/Evergreen,,3,,,
190,767-20573,47.0,767,Sacrlett/ Anderson,,3,,,
191,768-20573,84.0,768,Scarlett/Walden,,3,,,
192,77-20573,1920.0,77,Edgemont,,3,,,
193,770-20573,106.0,770,Western Canada/Riverbend/Lynnview,,3,,,
194,771-20573,21.0,771,Western Canada/Chinook Stn.,,3,,,
195,773-20573,74.0,773,Robert Thirsk / Rocky Ridge,,3,,,
196,774-20573,62.0,774,Robert Thirsk/ Royal Oak,,3,,,
197,775-20573,45.0,775,Robert Thirsk / Citadel,,3,,,
198,776-20573,71.0,776,Wise Wood/Palliser/Oakridge,,3,,,
199,777-20573,90.0,777,Wise Wood/Evergreen,,3,,,
200,778-20573,65.0,778,Wise Wood/Woodlands,,3,,,
201,78-20573,2360.0,78,Sundance/Chaparral,,3,,,
202,780-20573,71.0,780,Wise Wood/Oakridge,,3,,,
203,782-20573,134.0,782,H.D. Cartwrightl/Nolan Hill,,3,,,
204,786-20573,68.0,786,John Ware / Woodbine,,3,,,
205,791-20573,67.0,791,Queen Elizabeth/MacEwan,,3,,,
206,792-20573,70.0,792,Queen Elizabeth/Sandstone,,3,,,
207,793-20573,17.0,793,Queen E/ Sunnyside,,3,,,
208,794-20573,67.0,794,F.E. Osborne/ Silver Springs,,3,,,
209,795-20573,55.0,795,Vincent Massey/ Strathcona,,3,,,
210,796-20573,38.0,796,Tom Baines/Edgemont,,3,,,
211,797-20573,19.0,797,Tom Baines/Hamptons,,3,,,
212,798-20573,92.0,798,Annie Gale/Taradale,,3,,,
213,799-20573,35.0,799,Annie Gale/ Coral Springs,,3,,,
214,8-20573,8374.0,8,North Pointe / Foothills Medical Centre,,3,,,
215,801-20573,82.0,801,Brebeuf/RoyalOak,,3,,,
216,802-20573,72.0,802,Brebeuf/Hawkwood,,3,,,
217,805-20573,76.0,805,Brebeuf/Hamptons/Edgemont,,3,,,
218,807-20573,72.0,807,Brebeuf/Rocky Ridge,,3,,,
219,81-20573,2325.0,81,Macleod Trail,,3,,,
220,810-20573,83.0,810,St. Francis/St Margaret/ North Pointe,,3,,,
221,811-20573,215.0,811,St. Francis/ Tuscany,,3,,,
222,812-20573,94.0,812,St. Francis/E. Arbour Lake/Citadel,,3,,,
223,813-20573,90.0,813,St. Francis/Arbour Lk/ Scenic Acres/Silver Springs,,3,,,
224,814-20573,85.0,814,St. Francis/Royal Oak,,3,,,
225,815-20573,93.0,815,St. Francis/S. Ranchlands/Arbour Lk,,3,,,
226,816-20573,74.0,816,St. Francis/E. Hawkwood/Citadel,,3,,,
227,817-20573,81.0,817,St. Francis/ Rocky Ridge,,3,,,
228,818-20573,77.0,818,St. Francis/Hamptons/Edgemont,,3,,,
229,819-20573,85.0,819,St. Francis/Sherwood/ Edgemont,,3,,,
230,82-20573,2041.0,82,Nolan Hill,,3,,,
231,820-20573,70.0,820,St. Francis/Scenic Acres North,,3,,,
232,821-20573,56.0,821,Bishop O'Byrne/McKenzie/Mountain Park,,3,,,
233,825-20573,130.0,825,Bishop Carroll/ Mckenzie Towne Express,,3,,,
234,826-20573,55.0,826,Bishop Carroll/Dalhousie/Brentwood,,3,,,
235,827-20573,70.0,827,Bishop Carroll/Anderson,,3,,,
236,83-20573,806.0,83,Parkland,,3,,,
237,832-20573,220.0,832,Madeleine d'Houet/Sandstone,,3,,,
238,833-20573,120.0,833,Madeleine d'Houet/Dalhousie Stn,,3,,,
239,835-20573,25.0,835,St Bonaventure / Anderson,,3,,,
240,836-20573,73.0,836,St. Vincent de Paul/ Scenic Acres,,3,,,
241,839-20573,11.0,839,Our Lady of Grace/ Evanston,,3,,,
242,843-20573,80.0,843,Notre Dame/Hidden Valley/MacEwan,,3,,,
243,844-20573,36.0,844,Notre Dame/ Evanston,,3,,,
244,845-20573,109.0,845,Msgr J S Smith School/ Mahogany,,3,,,
245,85-20573,861.0,85,Martin Crossing,,3,,,
246,851-20573,80.0,851,St Augustine / Lynnwood / Ogden,,3,,,
247,853-20573,74.0,853,St Augustine / Riverbend,,3,,,
248,857-20573,87.0,857,St Stephen / Evergreen,,3,,,
249,86-20573,1788.0,86,Coventry Hills,,3,,,
250,860-20573,100.0,860,Bishop Grandin/ New Brighton,,3,,,
251,861-20573,100.0,861,Bishop Grandin / Douglasdale,,3,,,
252,862-20573,69.0,862,All Saints High / Cranston North,,3,,,
253,863-20573,92.0,863,All Saints High/Mahogany/ Cranston,,3,,,
254,864-20573,146.0,864,All Saints High/Auburn Bay,,3,,,
255,865-20573,52.0,865,All Saints High/Silverado,,3,,,
256,866-20573,110.0,866,All Saints High/Cranston,,3,,,
257,867-20573,50.0,867,All Saints High/ Chaparral,,3,,,
258,868-20573,120.0,868,All Saints High/ 52St SE,,3,,,
259,869-20573,25.0,869,All Saints High/ Somerset Bridlewood LRT,,3,,,
260,87-20573,2648.0,87,17 Avenue SE / Applewood,,3,,,
261,871-20573,20.0,871,St. Martha School/ Marlborough,,3,,,
262,872-20573,31.0,872,St. Alphonsus/ Rundle,,3,,,
263,877-20573,60.0,877,Father James Whelihan/Walden,,3,,,
264,878-20573,52.0,878,Father James Whelihan/Chaparral,,3,,,
265,88-20573,1018.0,88,Harvest Hills,,3,,,
266,880-20573,28.0,880,St Matthew / Heritage,,3,,,
267,882-20573,26.0,882,Blessed Marie-Rose / Nolan Hill,,3,,,
268,887-20573,60.0,887,St. Elizabeth Seton/ Panorama Hills,,3,,,
269,89-20573,327.0,89,Lions Park,,3,,,
270,892-20573,33.0,892,St. Isabella/ Mckenzie,,3,,,
271,894-20573,99.0,894,St. Gregory/ 69 St SW/Strathcona,,3,,,
272,895-20573,103.0,895,St. Gregory/ West Springs/ CougarRidge,,3,,,
273,896-20573,60.0,896,LOA/ Bowness/ Valley Ridge,,3,,,
274,9-20573,9992.0,9,Dalhousie-Chinook,,3,,,
275,90-20573,3332.0,90,Bridgeland / University of Calgary,,3,,,
276,91-20573,919.0,91,Foothills Medical Centre,,3,,,
277,92-20573,3087.0,92,McKenzie Towne,,3,,,
278,93-20573,5899.0,93,Coach Hill / Westbrook,,3,,,
279,94-20573,2665.0,94,Strathcona / Westbrook,,3,,,
280,95-20573,445.0,95,Palliser,,3,,,
281,96-20573,2764.0,96,McKenzie,,3,,,
282,97-20573,2290.0,97,South Ranchlands-Scenic Acres,,3,,,
283,98-20573,1691.0,98,Cougar Ridge,,3,,,
284,99-20573,4063.0,99,Acadia/Oakridge,,3,,,
