route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
74-20589,74,"Tuscany",,3,,,
76-20573,76,"Hawkwood",,3,,,
76-20589,76,"Hawkwood",,3,,,
77-20573,77,"Edgemont",,3,,,
77-20589,77,"Edgemont",,3,,,
78-20573,78,"Sundance/Chaparral",,3,,,
78-20589,78,"Sundance/Chaparral",,3,,,
81-20573,81,"Macleod Trail",,3,,,
81-20589,81,"Macleod Trail",,3,,,
82-20573,82,"Nolan Hill",,3,,,
82-20589,82,"Nolan Hill",,3,,,
83-20573,83,"Parkland",,3,,,
83-20589,83,"Parkland",,3,,,
85-20573,85,"Martin Crossing",,3,,,
85-20589,85,"Martin Crossing",,3,,,
86-20573,86,"Coventry Hills",,3,,,
86-20589,86,"Coventry Hills",,3,,,
87-20573,87,"17 Avenue SE / Applewood",,3,,,
87-20589,87,"17 Avenue SE / Applewood",,3,,,
88-20573,88,"Harvest Hills",,3,,,
88-20589,88,"Harvest Hills",,3,,,
89-20573,89,"Lions Park",,3,,,
89-20589,89,"Lions Park",,3,,,
90-20573,90,"Bridgeland / University of Calgary",,3,,,
90-20589,90,"Bridgeland / University of Calgary",,3,,,
91-20573,91,"Foothills Medical Centre",,3,,,
91-20589,91,"Foothills Medical Centre",,3,,,
92-20573,92,"McKenzie Towne",,3,,,
92-20589,92,"McKenzie Towne",,3,,,
93-20573,93,"Coach Hill / Westbrook",,3,,,
93-20589,93,"Coach Hill / Westbrook",,3,,,
94-20573,94,"Strathcona / Westbrook",,3,,,
94-20589,94,"Strathcona / Westbrook",,3,,,
95-20573,95,"Palliser",,3,,,
95-20589,95,"Palliser",,3,,,
96-20573,96,"McKenzie",,3,,,
96-20589,96,"McKenzie",,3,,,
97-20573,97,"South Ranchlands-Scenic Acres",,3,,,
97-20589,97,"South Ranchlands-Scenic Acres",,3,,,
98-20573,98,"Cougar Ridge",,3,,,
98-20589,98,"Cougar Ridge",,3,,,
99-20573,99,"Acadia/Oakridge",,3,,,
99-20589,99,"Acadia/Oakridge",,3,,,
100-20573,100,"North Pointe/ Airport/ McKnight",,3,,,
100-20589,100,"North Pointe/ Airport/ McKnight",,3,,,
101-20573,101,"Inglewood",,3,,,
101-20589,101,"Inglewood",,3,,,
102-20573,102,"Douglasdale Express",,3,,,
102-20589,102,"Douglasdale Express",,3,,,
103-20573,103,"McKenzie Express",,3,,,
103-20589,103,"McKenzie Express",,3,,,
104-20573,104,"Sunnyside / University of Calgary",,3,,,
104-20589,104,"Sunnyside / University of Calgary",,3,,,
105-20573,105,"Dalhousie-Lions Park",,3,,,
105-20589,105,"Dalhousie-Lions Park",,3,,,
106-20573,106,"Southland / Deerfoot Meadows",,3,,,
106-20589,106,"Southland / Deerfoot Meadows",,3,,,
109-20573,109,"Harvest Hills Express",,3,,,
109-20589,109,"Harvest Hills Express",,3,,,
110-20573,110,"Douglas Glen Express",,3,,,
110-20589,110,"Douglas Glen Express",,3,,,
111-20573,111,"Old Banff Coach Road",,3,,,
111-20589,111,"Old Banff Coach Road",,3,,,
113-20573,113,"North Ranchlands-Scenic Acres",,3,,,
113-20589,113,"North Ranchlands-Scenic Acres",,3,,,
114-20573,114,"Panorama/Country Hills",,3,,,
114-20589,114,"Panorama/Country Hills",,3,,,
115-20573,115,"Symons Valley Parkway",,3,,,
115-20589,115,"Symons Valley Parkway",,3,,,
116-20573,116,"Coventry Hills Express",,3,,,
116-20589,116,"Coventry Hills Express",,3,,,
117-20573,117,"McKenzie Towne Express",,3,,,
117-20589,117,"McKenzie Towne Express",,3,,,
118-20573,118,"Hidden Valley",,3,,,
