route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
705-20571,705,"Churchill/Edgebrook Rise",,3,,,
705-20573,705,"Churchill/Edgebrook Rise",,3,,,
706-20571,706,"Churchill/Edenwold Dr",,3,,,
706-20573,706,"Churchill/Edenwold Dr",,3,,,
711-20571,711,"Beaverbrook/Douglasglen",,3,,,
711-20573,711,"Beaverbrook/Douglasglen",,3,,,
712-20571,712,"Beaverbrook/Parkland",,3,,,
712-20573,712,"Beaverbrook/Parkland",,3,,,
713-20571,713,"Beaverbrook/Deer Run",,3,,,
713-20573,713,"Beaverbrook/Deer Run",,3,,,
715-20571,715,"Beaverbrook/Queensland",,3,,,
715-20573,715,"Beaverbrook/Queensland",,3,,,
719-20571,719,"Beaverbrook/McKenzie",,3,,,
719-20573,719,"Beaverbrook/McKenzie",,3,,,
721-20571,721,"Bowness/ Valley Ridge",,3,,,
721-20573,721,"Bowness/ Valley Ridge",,3,,,
722-20571,722,"Bowness/ Tuscany Ravine",,3,,,
722-20573,722,"Bowness/ Tuscany Ravine",,3,,,
723-20571,723,"Bowness/Tuscany Hills",,3,,,
723-20573,723,"Bowness/Tuscany Hills",,3,,,
724-20571,724,"Bowness/Tuscany North",,3,,,
724-20573,724,"Bowness/Tuscany North",,3,,,
725-20571,725,"Bowness/Silver Springs",,3,,,
725-20573,725,"Bowness/Silver Springs",,3,,,
731-20571,731,"Central Memorial/Riverbend",,3,,,
731-20573,731,"Central Memorial/Riverbend",,3,,,
732-20571,732,"Central Memorial/Glamorgan",,3,,,
732-20573,732,"Central Memorial/Glamorgan",,3,,,
733-20571,733,"Central Memorial/Lakeview",,3,,,
733-20573,733,"Central Memorial/Lakeview",,3,,,
734-20571,734,"Central Memorial/Ogden",,3,,,
734-20573,734,"Central Memorial/Ogden",,3,,,
735-20571,735,"Central Memorial/North Ogden",,3,,,
735-20573,735,"Central Memorial/North Ogden",,3,,,
736-20571,736,"Diefenbaker/ Panorama Hills",,3,,,
736-20573,736,"Diefenbaker/Panorama Hills",,3,,,
737-20571,737,"Diefenbaker/ Harvest Hills",,3,,,
737-20573,737,"Diefenbaker/ Harvest Hills",,3,,,
738-20571,738,"Diefenbaker/Panorama Hills North",,3,,,
738-20573,738,"Diefenbaker/Panorama Hills North",,3,,,
739-20571,739,"Diefenbaker/Panorama Hills",,3,,,
739-20573,739,"Diefenbaker/Panorama Hills",,3,,,
743-20571,743,"Crescent Heights/ Whitehorn Stn",,3,,,
